
Vegueries 1986;Entendre'l;Parlar-lo;Llegir-lo;Escriure'l
Barcelona;88.42;57.91;56.86;28.86
Alt Pirineu i Aran;95.79;81.90;70.59;35.89
Camp de Tarragona;91.23;68.85;64.29;33.80
Comarques Centrals;95.44;81.02;72.60;44.49
Comarques Gironines;95.11;80.26;70.97;39.75
Ponent;96.14;82.39;71.06;36.34
Terres de l'Ebre;97.53;83.22;63.20;28.51
