
Vegueries 2008;Entendre'l;Parlar-lo;Llegir-lo;Escriure'l
Barcelona;94.9;76.5;81.2;59.8
Alt Pirineu i Aran;95.4;86.8;84.8;67.2
Camp de Tarragona;95.74;78.11;74.98;49.22
Comarques Centrals;89.5;75.7;80.2;62.3
Comarques Gironines;95.1;81.7;80.8;63.4
Ponent;93.4;84.5;86.4;69.0
Terres de l'Ebre;96.5;83.2;80.4;59.2
