;Només català;Més català que castellà;Català i castellà;Més castellà que català;Només castellà;Altres llengües
Membres de la llar (1);27,2;5,6;7,8;10,1;37,7;11,6
Amistats;13,4;16,5;18,3;13,1;28,9;9,8
Veïns;16,8;14,3;17,1;10,9;37;3,8
Companys d'estudi (2);18,2;18,1;19,1;12,9;19,9;11,7
Companys de feina (3);15,3;15,1;20,2;13,2;26;10,3
Usuaris o clients de Catalunya (4);11,3;23,7;27,7;11,8;18,4;7,2
Petit comerç;19,9;18;18,2;10;32,2;1,8
Gran comerç;17,1;15,9;18,7;11,9;34,3;2,2
Entitats financeres;30,1;11,6;12,4;7;34,8;4,2
Administració local;37,9;9,6;9,1;6;31,1;6,2
Administració de la Generalitat de Catalunya;37,4;8,4;7,8;4,9;28,9;12,7
Administració de l'Estat;20,1;11,5;13,6;9;38,9;6,9
Personal mèdic;26,4;12,6;14,5;6,8;38,4;1,4
Escriure notes personals;..;..;..;..;..;..
Escriure missatges de mòbil;11,8;11,8;13,5;10,3;32,9;19,7
