
Vegueries 1991;Entendre'l;Parlar-lo;Llegir-lo;Escriure'l
Barcelona;92.44;63.13;64.04;37.03
Alt Pirineu i Aran;98.04;84.29;76.05;39.82
Camp de Tarragona;95.02;72.84;71.73;44.08
Comarques Centrals;97.48;83.21;79.11;53.72
Comarques Gironines;96.44;80.66;76.61;49.32
Ponent;97.97;84.08;77.37;43.23
Terres de l'Ebre;98.94;86.67;73.17;37.77
