
Vegueries 2013;Entendre'l;Parlar-lo;Llegir-lo;Escriure'l
Barcelona;93,7;77,6;80,6;57,1
Alt Pirineu i Aran;97,5;86,6;88,7;65,9
Camp de Tarragona;94,4;81,2;81,2;62,1
Comarques Centrals;96,5;89,8;88,9;74,2
Comarques Gironines;95,4;84,9;85,9;65,8
Ponent;96,3;87,8;88,3;66,3
Terres de l'Ebre;96,7;91,5;87,1;69,4
Penedes;93,9;82,0;83,2;62,8
