
Vegueries 2011;Entendre'l;Parlar-lo;Llegir-lo;Escriure'l
Barcelona;94.78;70.44;77.10;53.20
Alt Pirineu i Aran;96.82;80.65;84.17;61.30
Camp de Tarragona;95.10;73.99;79.67;57.10
Comarques Centrals;96.92;83.88;85.74;66.77
Comarques Gironines;95.07;77.04;80.48;60.66
Ponent;95.79;79.32;81.82;60.33
Terres de l'Ebre;97.05;81.05;81.97;55.49
Penedès;95.61;75.83;80.70;58.10
