
Vegueries 1996;Entendre'l;Parlar-lo;Llegir-lo;Escriure'l
Barcelona;94.01;71.21;69.31;43.09
Alt Pirineu i Aran;98.44;88.26;80.63;48.97
Camp de Tarragona;95.74;78.11;74.98;49.22
Comarques Centrals;97.45;86.05;81.41;56.95
Comarques Gironines;96.70;84.36;79.92;53.77
Ponent;98.28;88.30;82.25;51.42
Terres de l'Ebre;98.99;90.64;77.15;43.85
