
Vegueries 2001;Entendre'l;Parlar-lo;Llegir-lo;Escriure'l
Barcelona;93,81;71,03;71,71;46,50
Alt Pirineu i Aran;97,65;85,85;82,23;57,32
Camp de Tarragona;95,04;77,00;76,60;53,45
Comarques Centrals;96,52;83,78;81,84;61,48
Comarques Gironines;95,55;81,63;80,32;58,42
Ponent;97,12;86,25;82,94;57,82
Terres de l'Ebre;97,40;87,48;79,44;51,85
